"Quote This Product","Quote This Product"
"Confirm Quote Details","Confirm Quote Details"
Reset,Reset
"Hello, ","Hello, "
%customer_name,%customer_name
%quoteTitle,%quoteTitle
"Quote Qty","Quote Qty"
Sku,Sku
Options,Options
Description:,Description:
"Thank you","Thank you"
"New message:","New message:"
"New Message :","New Message :"
"%url ","%url "
Quote,Quote
"New Status :","New Status :"
"Create an Account","Create an Account"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Email Address","Email Address"
Password,Password
"Sign In","Sign In"
"Forgot Your Password?","Forgot Your Password?"
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Are you sure you want to edit this quote?","Are you sure you want to edit this quote?"
"No Checkbox is checked.","No Checkbox is checked."
"Are you sure you want to delete these quotes?","Are you sure you want to delete these quotes?"
"Are you sure you want to delete this quote?","Are you sure you want to delete this quote?"
"Requested Amount is not available please contact Admin","Requested Amount is not available please contact Admin"
"Requested Quote is not exists, please contact to admin.","Requested Quote is not exists, please contact to admin."
"There is some error during executing this process, please try again later.","There is some error during executing this process, please try again later."
Saving,Saving
Adding...,Adding...
Added,Added
"Add to Quote","Add to Quote"
"minimum quote quantity is ","minimum quote quantity is "
Motus,Motus
"Quote System","Quote System"
"Quote System Settings","Quote System Settings"
"Quote System Enable/Disable","Quote System Enable/Disable"
"Allow To use Discount while quote product is in cart","Allow To use Discount while quote product is in cart"
"Allow customer to apply discount when customer added quote product in cart","Allow customer to apply discount when customer added quote product in cart"
"Allowed File Types For Attachment","Allowed File Types For Attachment"
"File type should be comma(,) separated. Use 'gz','tgz','tgzip' for 'tar.gz'. And 'bz','tbz','tbzip','tbz2','tbzip2' for 'tar.bz'","File type should be comma(,) separated. Use 'gz','tgz','tgzip' for 'tar.gz'. And 'bz','tbz','tbzip','tbz2','tbzip2' for 'tar.bz'"
"Show Add to Cart","Show Add to Cart"
"Show Product Price","Show Product Price"
"Minimum Quote Quantity","Minimum Quote Quantity"
"Quote System Transactional Emails","Quote System Transactional Emails"
"New Quote Email Template","New Quote Email Template"
"Quote Status Email Template","Quote Status Email Template"
"Quote Message Email Template","Quote Message Email Template"
"Quote Edited Email Template","Quote Edited Email Template"
ID,ID
Email,Email
Phone,Phone
"ZIP/Post Code","ZIP/Post Code"
Country,Country
State/Province,State/Province
"Signed-up Point","Signed-up Point"
Website,Website
"Add New Quote","Add New Quote"
"Are you sure you want to delete selected Quote(s)?","Are you sure you want to delete selected Quote(s)?"
"Update Quotes","Update Quotes"
"Quote Status","Quote Status"
"Are you sure you want to update status of selected quotes?","Are you sure you want to update status of selected quotes?"
"Customer Name","Customer Name"
"Product Price","Product Price"
"Motus Quote System","Motus Quote System"
"File type should be comma(,) separated. Use 'gz','tgz','tgzip' for 'tar.gz'. And 'bz','tbz','tbzip','tbz2','tbzip2' for 'tar.bz'","File type should be comma(,) separated. Use 'gz','tgz','tgzip' for 'tar.gz'. And 'bz','tbz','tbzip','tbz2','tbzip2' for 'tar.bz'"
"Quote ID","Quote ID"
"Created Date","Created Date"
"Total Quote Price","Total Quote Price"
"Store View","Store View"
"Print Quote","Print Quote"
"Approved","Approved"
"Declined","Declined"
"Add Multiple Quote","Add Multiple Quote"
